UNIQUE_id,GEO_rural_urban,LONELINESS_chronic_loneliness,DEMO_age
cscs_00106,,,49.0
cscs_00107,"Large urban centre (100,000+ people)",,45.0
cscs_00109,,,20.0
cscs_00111,"Large urban centre (100,000+ people)",,30.0
cscs_00113,,,18.0
cscs_00114,,,37.0
cscs_00115,,,57.0
cscs_00116,"Small city/town (1,000-29,999 people)",,66.0
cscs_00117,,,35.0
cscs_00118,,,21.0
cscs_00119,"Large urban centre (100,000+ people)",,65.0
cscs_00122,,,26.0
cscs_00123,,,61.0
cscs_00124,,,26.0
cscs_00125,,,75.0
cscs_00126,,,30.0
cscs_00127,,,45.0
cscs_00128,,,25.0
cscs_00129,,,67.0
cscs_00130,,,28.0
cscs_00131,,,18.0
cscs_00133,,,21.0
cscs_00134,,,19.0
cscs_00135,,,34.0
cscs_00136,"Small city/town (1,000-29,999 people)",,45.0
cscs_00137,"Medium city/town (30,000-99,999 people)",,58.0
cscs_00138,"Medium city/town (30,000-99,999 people)",,34.0
cscs_00139,,,27.0
cscs_00140,,Yes,29.0
cscs_00141,,,62.0
cscs_00142,,,21.0
cscs_00143,,,91.0
cscs_00144,,,64.0
cscs_00145,,,20.0
cscs_00146,"Large urban centre (100,000+ people)",,40.0
cscs_00148,,,28.0
cscs_00150,"Large urban centre (100,000+ people)",,34.0
cscs_00151,,,68.0
cscs_00152,"Small city/town (1,000-29,999 people)",,60.0
cscs_00153,,,71.0
cscs_00154,"Medium city/town (30,000-99,999 people)",,30.0
cscs_00155,"Medium city/town (30,000-99,999 people)",,60.0
cscs_00157,"Large urban centre (100,000+ people)",,31.0
cscs_00158,,,30.0
cscs_00160,,,59.0
cscs_00161,,,58.0
cscs_00162,"Large urban centre (100,000+ people)",,70.0
cscs_00164,,,67.0
cscs_00165,,,33.0
cscs_00166,,,26.0
cscs_00167,,,38.0
cscs_00168,,,62.0
cscs_00169,,,77.0
cscs_00170,Rural area (Less than 1000 people),,73.0
cscs_00171,,No,36.0
cscs_00172,"Large urban centre (100,000+ people)",,28.0
cscs_00173,,,38.0
cscs_00174,,,61.0
cscs_00175,"Large urban centre (100,000+ people)",,50.0
cscs_00176,,,62.0
cscs_00177,"Small city/town (1,000-29,999 people)",,42.0
cscs_00178,,,23.0
cscs_00179,"Large urban centre (100,000+ people)",,37.0
cscs_00183,,,56.0
cscs_00184,,,22.0
cscs_00185,,,22.0
cscs_00186,"Medium city/town (30,000-99,999 people)",,71.0
cscs_00187,,,55.0
cscs_00188,"Medium city/town (30,000-99,999 people)",,78.0
cscs_00189,,,25.0
cscs_00190,"Medium city/town (30,000-99,999 people)",,48.0
cscs_00191,"Large urban centre (100,000+ people)",,58.0
cscs_00192,,,38.0
cscs_00193,,,61.0
cscs_00194,"Medium city/town (30,000-99,999 people)",,62.0
cscs_00195,"Large urban centre (100,000+ people)",,63.0
cscs_00196,"Small city/town (1,000-29,999 people)",,50.0
cscs_00199,,,60.0
cscs_00201,,,44.0
cscs_00202,,,50.0
cscs_00203,,,77.0
cscs_00204,,,58.0
cscs_00206,,,68.0
cscs_00207,,,26.0
cscs_00208,,,18.0
cscs_00209,"Medium city/town (30,000-99,999 people)",,21.0
cscs_00210,,Yes,33.0
cscs_00211,,,39.0
cscs_00212,,,54.0
cscs_00213,,,30.0
cscs_00215,,,53.0
cscs_00216,,,28.0
cscs_00217,,,34.0
cscs_00218,,,58.0
cscs_00220,,,56.0
cscs_00221,,,74.0
cscs_00222,,,57.0
cscs_00224,,,57.0
cscs_00225,Rural area (Less than 1000 people),,57.0
cscs_00226,,,59.0
cscs_00227,,,46.0
cscs_00228,,,25.0
cscs_00229,,,32.0
cscs_00230,Rural area (Less than 1000 people),,65.0
cscs_00231,,,20.0
cscs_00232,,,72.0
cscs_00233,,,35.0
cscs_00234,,,55.0
cscs_00235,"Large urban centre (100,000+ people)",,56.0
cscs_00236,,,28.0
cscs_00237,"Medium city/town (30,000-99,999 people)",,28.0
cscs_00238,,,70.0
cscs_00240,"Large urban centre (100,000+ people)",,66.0
cscs_00241,,,47.0
cscs_00242,,,28.0
cscs_00243,"Medium city/town (30,000-99,999 people)",,30.0
cscs_00244,,,50.0
cscs_00245,,,65.0
cscs_00246,"Medium city/town (30,000-99,999 people)",,53.0
cscs_00247,"Large urban centre (100,000+ people)",,61.0
cscs_00248,,Yes,26.0
cscs_00249,,,25.0
cscs_00250,,No,24.0
cscs_00251,,,56.0
cscs_00253,,,66.0
cscs_00254,,,35.0
cscs_00255,,Yes,42.0
cscs_00256,,,43.0
cscs_00257,,,71.0
cscs_00258,,,22.0
cscs_00259,,,44.0
cscs_00261,,,50.0
cscs_00262,"Medium city/town (30,000-99,999 people)",,50.0
cscs_00263,,,74.0
cscs_00264,"Large urban centre (100,000+ people)",,32.0
cscs_00265,,,60.0
cscs_00267,,,25.0
cscs_00268,,,47.0
cscs_00269,"Large urban centre (100,000+ people)",,52.0
cscs_00270,,,28.0
cscs_00271,,,44.0
cscs_00272,,,54.0
cscs_00273,,,55.0
cscs_00274,"Large urban centre (100,000+ people)",,45.0
cscs_00276,,,26.0
cscs_00277,,,25.0
cscs_00279,,,38.0
cscs_00280,,,37.0
cscs_00283,,,34.0
cscs_00284,,,45.0
cscs_00285,,No,37.0
cscs_00286,"Medium city/town (30,000-99,999 people)",,27.0
cscs_00287,"Medium city/town (30,000-99,999 people)",,36.0
cscs_00288,"Small city/town (1,000-29,999 people)",,59.0
cscs_00289,,,33.0
cscs_00290,,,55.0
cscs_00291,,,26.0
cscs_00292,,,19.0
cscs_00293,,,32.0
cscs_00294,,,62.0
cscs_00295,,,25.0
cscs_00296,,,19.0
cscs_00297,,,29.0
cscs_00298,,Yes,63.0
cscs_00299,"Large urban centre (100,000+ people)",,63.0
cscs_00300,,,23.0
cscs_00301,,,64.0
cscs_00303,,,20.0
cscs_00304,"Large urban centre (100,000+ people)",,44.0
cscs_00305,,,51.0
cscs_00308,,,54.0
cscs_00310,"Medium city/town (30,000-99,999 people)",,42.0
cscs_00311,,,26.0
cscs_00313,,,96.0
cscs_00314,"Large urban centre (100,000+ people)",,70.0
cscs_00316,,,61.0
cscs_00317,,,49.0
cscs_00318,,,57.0
cscs_00319,"Large urban centre (100,000+ people)",,35.0
cscs_00320,,No,58.0
cscs_00321,,,30.0
cscs_00323,,,48.0
cscs_00325,,No,64.0
cscs_00326,,,52.0
cscs_00327,,,30.0
cscs_00328,,,56.0
cscs_00329,,,27.0
cscs_00330,,,67.0
cscs_00332,,,26.0
cscs_00333,,,69.0
cscs_00334,,,65.0
cscs_00335,"Small city/town (1,000-29,999 people)",,62.0
cscs_00336,,,30.0
cscs_00337,,,75.0
cscs_00339,,,54.0
cscs_00340,,,79.0
cscs_00341,,,57.0
cscs_00342,,,42.0
cscs_00343,,,54.0
cscs_00344,,,55.0
cscs_00346,,,28.0
cscs_00347,Rural area (Less than 1000 people),,60.0
cscs_00349,"Small city/town (1,000-29,999 people)",,73.0
cscs_00350,,No,83.0
cscs_00351,"Small city/town (1,000-29,999 people)",,64.0
cscs_00352,,,62.0
cscs_00353,"Large urban centre (100,000+ people)",,29.0
cscs_00355,,,28.0
cscs_00356,,,34.0
cscs_00357,,,32.0
cscs_00358,,,47.0
cscs_00359,"Large urban centre (100,000+ people)",,34.0
cscs_00360,,,26.0
cscs_00363,Rural area (Less than 1000 people),,66.0
cscs_00365,,,28.0
cscs_00366,,,30.0
cscs_00367,"Large urban centre (100,000+ people)",,66.0
cscs_00368,"Large urban centre (100,000+ people)",,71.0
cscs_00369,,,70.0
cscs_00370,,,61.0
cscs_00371,,,32.0
cscs_00372,,,32.0
cscs_00373,"Large urban centre (100,000+ people)",,33.0
cscs_00374,,,33.0
cscs_00375,,,29.0
cscs_00376,,,62.0
cscs_00377,,,73.0
cscs_00378,,,25.0
cscs_00379,,,34.0
cscs_00380,,Yes,52.0
cscs_00381,,,30.0
cscs_00382,,,60.0
cscs_00383,"Large urban centre (100,000+ people)",,37.0
cscs_00384,,,85.0
cscs_00385,,,25.0
cscs_00386,,No,56.0
cscs_00387,,,24.0
cscs_00388,,,38.0
cscs_00389,,,64.0
cscs_00390,,,24.0
cscs_00391,,,80.0
cscs_00392,,,40.0
cscs_00395,,,74.0
cscs_00398,,,35.0
cscs_00399,,,53.0
cscs_00400,,,18.0
cscs_00401,"Medium city/town (30,000-99,999 people)",,30.0
cscs_00402,,,17.0
cscs_00403,,,23.0
cscs_00404,,,53.0
cscs_00405,Rural area (Less than 1000 people),,68.0
cscs_00406,,,65.0
cscs_00407,"Medium city/town (30,000-99,999 people)",,25.0
cscs_00408,"Medium city/town (30,000-99,999 people)",,66.0
cscs_00409,,,16.0
cscs_00410,"Large urban centre (100,000+ people)",,23.0
cscs_00411,,Yes,43.0
cscs_00413,,,69.0
cscs_00415,,,35.0
cscs_00416,,,45.0
cscs_00417,Rural area (Less than 1000 people),,81.0
cscs_00418,,,32.0
cscs_00420,,,20.0
cscs_00421,"Medium city/town (30,000-99,999 people)",,50.0
cscs_00422,"Small city/town (1,000-29,999 people)",,64.0
cscs_00423,,,61.0
cscs_00424,Rural area (Less than 1000 people),,50.0
cscs_00425,,,44.0
cscs_00427,,,28.0
cscs_00428,,,80.0
cscs_00429,,,45.0
cscs_00430,,,22.0
cscs_00431,,,37.0
cscs_00432,Presented but no response,,78.0
cscs_00433,,,62.0
cscs_00434,,,20.0
cscs_00436,,,39.0
cscs_00437,,,64.0
cscs_00438,"Medium city/town (30,000-99,999 people)",,72.0
cscs_00439,,,18.0
cscs_00440,,,64.0
cscs_00441,,,63.0
cscs_00442,Rural area (Less than 1000 people),,63.0
cscs_00443,,,65.0
cscs_00444,"Large urban centre (100,000+ people)",,64.0
cscs_00444,,,61.0
cscs_00445,"Large urban centre (100,000+ people)",,67.0
cscs_00446,Rural area (Less than 1000 people),,69.0
cscs_00447,,,51.0
cscs_00448,,,62.0
cscs_00450,,,57.0
cscs_00451,,,28.0
cscs_00452,,,26.0
cscs_00453,Rural area (Less than 1000 people),,64.0
cscs_00454,,,29.0
cscs_00455,,Yes,38.0
cscs_00457,,,30.0
cscs_00458,"Large urban centre (100,000+ people)",,55.0
cscs_00459,"Medium city/town (30,000-99,999 people)",,58.0
cscs_00460,,,32.0
cscs_00462,,,30.0
cscs_00463,"Large urban centre (100,000+ people)",,52.0
cscs_00464,,,33.0
cscs_00465,"Large urban centre (100,000+ people)",,27.0
cscs_00466,"Medium city/town (30,000-99,999 people)",,80.0
cscs_00467,,,26.0
cscs_00468,,,54.0
cscs_00469,,,28.0
cscs_00470,"Large urban centre (100,000+ people)",,49.0
cscs_00471,,No,21.0
cscs_00472,,,32.0
cscs_00473,,,33.0
cscs_00474,"Medium city/town (30,000-99,999 people)",,33.0
cscs_00474,,,31.0
cscs_00475,"Medium city/town (30,000-99,999 people)",,54.0
cscs_00476,,,68.0
cscs_00478,,Yes,55.0
cscs_00479,,,28.0
cscs_00480,,,24.0
cscs_00481,,,43.0
cscs_00482,,,25.0
cscs_00483,,,30.0
cscs_00484,,,64.0
cscs_00485,,,79.0
cscs_00486,,No,32.0
cscs_00488,,,34.0
cscs_00489,,,58.0
cscs_00490,,,48.0
cscs_00491,,,71.0
cscs_00492,,,79.0
cscs_00493,,,59.0
cscs_00494,,,32.0
cscs_00495,,,27.0
cscs_00497,"Small city/town (1,000-29,999 people)",,54.0
cscs_00498,,,46.0
cscs_00500,,,24.0
cscs_00501,,,67.0
cscs_00503,,,64.0
cscs_00504,"Small city/town (1,000-29,999 people)",,41.0
cscs_00506,,,23.0
cscs_00507,,,57.0
cscs_00508,,,24.0
cscs_00509,,,32.0
cscs_00510,,,71.0
cscs_00511,"Large urban centre (100,000+ people)",,72.0
cscs_00512,,,93.0
cscs_00514,,,79.0
cscs_00515,,,32.0
cscs_00516,,,33.0
cscs_00517,,,56.0
cscs_00518,,,62.0
cscs_00519,,,60.0
cscs_00520,"Large urban centre (100,000+ people)",,39.0
cscs_00522,,,72.0
cscs_00523,,,35.0
cscs_00526,,,29.0
cscs_00527,,,71.0
cscs_00528,,,46.0
cscs_00529,,,74.0
cscs_00530,,,25.0
cscs_00531,,,25.0
cscs_00532,,,64.0
cscs_00533,"Large urban centre (100,000+ people)",,38.0
cscs_00535,,,75.0
cscs_00537,,,34.0
cscs_00538,,,26.0
cscs_00539,,,64.0
cscs_00540,,,32.0
cscs_00541,,,81.0
cscs_00542,,,59.0
cscs_00543,,,28.0
cscs_00544,,,62.0
cscs_00545,,,34.0
cscs_00546,,,49.0
cscs_00547,,,55.0
cscs_00548,,,36.0
cscs_00549,,,56.0
cscs_00551,"Large urban centre (100,000+ people)",,35.0
cscs_00552,,,36.0
cscs_00554,"Large urban centre (100,000+ people)",,73.0
cscs_00555,,,28.0
cscs_00556,,,38.0
cscs_00557,,,59.0
cscs_00558,"Medium city/town (30,000-99,999 people)",,53.0
cscs_00560,,,53.0
cscs_00561,,Yes,59.0
cscs_00562,,,56.0
cscs_00563,,,60.0
cscs_00564,,,59.0
cscs_00565,,No,20.0
cscs_00566,,,65.0
cscs_00567,,,60.0
cscs_00568,,Yes,43.0
cscs_00570,,,48.0
cscs_00571,,,43.0
cscs_00572,"Medium city/town (30,000-99,999 people)",,59.0
cscs_00573,"Large urban centre (100,000+ people)",,49.0
cscs_00574,,,39.0
cscs_00575,,,27.0
cscs_00576,,,25.0
cscs_00577,,,31.0
cscs_00578,"Small city/town (1,000-29,999 people)",,60.0
cscs_00579,,,65.0
cscs_00580,,,31.0
cscs_00581,,,63.0
cscs_00582,,,60.0
cscs_00583,,No,29.0
cscs_00585,,,65.0
cscs_00587,"Large urban centre (100,000+ people)",,66.0
cscs_00588,"Small city/town (1,000-29,999 people)",,46.0
cscs_00589,,,31.0
cscs_00590,"Large urban centre (100,000+ people)",,26.0
cscs_00591,,,45.0
cscs_00592,,,42.0
cscs_00592,"Small city/town (1,000-29,999 people)",,44.0
cscs_00594,,,25.0
cscs_00595,,,25.0
cscs_00596,,Yes,58.0
cscs_00597,,,21.0
cscs_00598,,,27.0
cscs_00599,,,28.0
cscs_00600,"Medium city/town (30,000-99,999 people)",,42.0
cscs_00601,,,69.0
cscs_00602,,,25.0
cscs_00603,,,62.0
cscs_00604,"Large urban centre (100,000+ people)",,23.0
cscs_00605,,No,53.0
cscs_00606,,,20.0
cscs_00607,,,53.0
cscs_00608,,,32.0
cscs_00609,,,64.0
cscs_00610,,,47.0
cscs_00611,,,32.0
cscs_00612,,,56.0
cscs_00613,,,29.0
cscs_00614,"Large urban centre (100,000+ people)",,64.0
cscs_00616,"Small city/town (1,000-29,999 people)",,71.0
cscs_00617,,,46.0
cscs_00618,,,22.0
cscs_00619,,,32.0
cscs_00620,Rural area (Less than 1000 people),,59.0
cscs_00621,"Small city/town (1,000-29,999 people)",,73.0
cscs_00622,,,28.0
cscs_00623,,,36.0
cscs_00624,,,76.0
cscs_00625,,,54.0
cscs_00626,"Medium city/town (30,000-99,999 people)",,25.0
cscs_00627,"Large urban centre (100,000+ people)",,64.0
cscs_00628,"Medium city/town (30,000-99,999 people)",,28.0
cscs_00629,,,62.0
cscs_00630,,,27.0
cscs_00631,,,24.0
cscs_00632,,,30.0
cscs_00633,"Large urban centre (100,000+ people)",,48.0
cscs_00634,"Medium city/town (30,000-99,999 people)",,79.0
cscs_00635,,,62.0
cscs_00636,,,40.0
cscs_00637,,,62.0
cscs_00638,"Large urban centre (100,000+ people)",,61.0
cscs_00639,,,42.0
cscs_00640,,No,42.0
cscs_00641,"Medium city/town (30,000-99,999 people)",,26.0
cscs_00643,,,28.0
cscs_00644,,,79.0
cscs_00645,,,46.0
cscs_00646,,,24.0
cscs_00647,,,30.0
cscs_00648,,,33.0
cscs_00649,Rural area (Less than 1000 people),,84.0
cscs_00650,"Large urban centre (100,000+ people)",,31.0
cscs_00651,"Medium city/town (30,000-99,999 people)",,29.0
cscs_00652,,Yes,43.0
cscs_00653,"Large urban centre (100,000+ people)",,51.0
cscs_00654,"Large urban centre (100,000+ people)",,79.0
cscs_00655,,,65.0
cscs_00656,,,34.0
cscs_00657,"Medium city/town (30,000-99,999 people)",,69.0
cscs_00658,"Large urban centre (100,000+ people)",,47.0
cscs_00658,,,44.0
cscs_00659,,Yes,33.0
cscs_00660,,,58.0
cscs_00661,,,32.0
cscs_00662,"Medium city/town (30,000-99,999 people)",,77.0
cscs_00664,,,67.0
cscs_00665,,,26.0
cscs_00666,,,70.0
cscs_00667,,,44.0
cscs_00668,"Large urban centre (100,000+ people)",,79.0
cscs_00669,,No,53.0
cscs_00670,"Small city/town (1,000-29,999 people)",,62.0
cscs_00671,"Medium city/town (30,000-99,999 people)",,20.0
cscs_00672,,,62.0
cscs_00673,"Small city/town (1,000-29,999 people)",,74.0
cscs_00674,,,67.0
cscs_00675,Rural area (Less than 1000 people),,42.0
cscs_00676,,,28.0
cscs_00677,,,55.0
cscs_00678,,,71.0
cscs_00679,,,26.0
cscs_00680,,No,39.0
cscs_00681,"Large urban centre (100,000+ people)",,25.0
cscs_00682,,,56.0
cscs_00683,,,37.0
cscs_00684,,,22.0
cscs_00685,Rural area (Less than 1000 people),,92.0
cscs_00686,,,42.0
cscs_00688,,,28.0
cscs_00689,,,30.0
cscs_00690,,,38.0
cscs_00692,,,40.0
cscs_00693,,,53.0
cscs_00694,,,25.0
cscs_00695,,,32.0
cscs_00696,,,64.0
cscs_00697,,,36.0
cscs_00700,"Large urban centre (100,000+ people)",,39.0
cscs_00701,"Large urban centre (100,000+ people)",,75.0
cscs_00702,"Large urban centre (100,000+ people)",,74.0
cscs_00704,,,36.0
cscs_00705,,,21.0
cscs_00706,"Medium city/town (30,000-99,999 people)",,47.0
cscs_00707,,,31.0
cscs_00709,,,25.0
cscs_00711,,,25.0
cscs_00713,,,75.0
cscs_00714,,,62.0
cscs_00715,,,59.0
cscs_00716,,,16.0
cscs_00717,"Large urban centre (100,000+ people)",,54.0
cscs_00718,,,20.0
cscs_00721,"Small city/town (1,000-29,999 people)",,64.0
cscs_00723,"Medium city/town (30,000-99,999 people)",,50.0
cscs_00725,,,36.0
cscs_00727,,Yes,66.0
cscs_00728,,,39.0
cscs_00729,"Large urban centre (100,000+ people)",,36.0
cscs_00730,,,29.0
cscs_00731,,,56.0
cscs_00732,,,54.0
cscs_00734,,,30.0
cscs_00735,,No,69.0
cscs_00737,"Large urban centre (100,000+ people)",,69.0
cscs_00738,,,26.0
cscs_00739,,,35.0
cscs_00740,"Small city/town (1,000-29,999 people)",,36.0
cscs_00741,,,74.0
cscs_00742,,,26.0
cscs_00743,,,30.0
cscs_00744,,,73.0
cscs_00746,,,63.0
cscs_00747,,,27.0
cscs_00748,Presented but no response,,23.0
cscs_00749,,,42.0
cscs_00750,,,58.0
cscs_00751,,,28.0
cscs_00752,,,55.0
cscs_00753,,,29.0
cscs_00754,,,23.0
cscs_00755,,,41.0
cscs_00756,,,58.0
cscs_00757,,,53.0
cscs_00758,,,67.0
cscs_00759,,,33.0
cscs_00760,"Large urban centre (100,000+ people)",,32.0
cscs_00761,,,45.0
cscs_00762,,,53.0
cscs_00763,,Yes,71.0
cscs_00764,,Yes,24.0
cscs_00765,,,42.0
cscs_00766,,,27.0
cscs_00767,,,50.0
cscs_00768,,,47.0
cscs_00769,,,32.0
cscs_00770,"Large urban centre (100,000+ people)",,23.0
cscs_00771,,,66.0
cscs_00772,,No,65.0
cscs_00773,"Large urban centre (100,000+ people)",,69.0
cscs_00774,,No,63.0
cscs_00776,"Large urban centre (100,000+ people)",,51.0
cscs_00777,,,53.0
cscs_00778,,,33.0
cscs_00779,,,41.0
cscs_00783,,,47.0
cscs_00784,,,51.0
cscs_00785,,,62.0
cscs_00786,"Medium city/town (30,000-99,999 people)",,72.0
cscs_00787,Rural area (Less than 1000 people),,61.0
cscs_00788,,,74.0
cscs_00789,,,73.0
cscs_00790,Rural area (Less than 1000 people),,52.0
cscs_00791,,,19.0
cscs_00792,,,30.0
cscs_00793,,,60.0
cscs_00795,,,26.0
cscs_00796,,,41.0
cscs_00797,"Large urban centre (100,000+ people)",,25.0
cscs_00798,"Large urban centre (100,000+ people)",,51.0
cscs_00799,Rural area (Less than 1000 people),,61.0
cscs_00800,,,31.0
cscs_00801,,,26.0
cscs_00802,"Large urban centre (100,000+ people)",,32.0
cscs_00803,,,53.0
cscs_00804,,,18.0
cscs_00805,"Large urban centre (100,000+ people)",,61.0
cscs_00806,,,55.0
cscs_00807,,,59.0
cscs_00808,,,68.0
cscs_00809,,,31.0
cscs_00810,,,65.0
cscs_00812,,,43.0
cscs_00814,,,25.0
cscs_00815,,,62.0
cscs_00816,,,67.0
cscs_00817,,,64.0
cscs_00819,,,36.0
cscs_00820,,,80.0
cscs_00821,,,64.0
cscs_00822,,,32.0
cscs_00823,,,33.0
cscs_00824,,,32.0
cscs_00826,,,22.0
cscs_00827,"Medium city/town (30,000-99,999 people)",,44.0
cscs_00829,,,28.0
cscs_00830,,,36.0
cscs_00832,,Yes,50.0
cscs_00833,,,22.0
cscs_00835,,,35.0
cscs_00836,Rural area (Less than 1000 people),,52.0
cscs_00837,,,66.0
cscs_00838,,,26.0
cscs_00839,,,75.0
cscs_00840,,,76.0
cscs_00841,"Large urban centre (100,000+ people)",,58.0
cscs_00842,,,23.0
cscs_00843,,No,38.0
cscs_00844,,,33.0
cscs_00845,,,29.0
cscs_00846,,,47.0
cscs_00847,,,35.0
cscs_00848,,,17.0
cscs_00849,,,34.0
cscs_00850,,,28.0
cscs_00851,,,56.0
cscs_00852,,,34.0
cscs_00853,,,33.0
cscs_00854,"Small city/town (1,000-29,999 people)",,47.0
cscs_00855,,,65.0
cscs_00856,,,60.0
cscs_00857,,,59.0
cscs_00858,"Medium city/town (30,000-99,999 people)",,32.0
cscs_00859,,,56.0
cscs_00860,,,62.0
cscs_00861,"Small city/town (1,000-29,999 people)",,73.0
cscs_00862,,,26.0
cscs_00863,,,64.0
cscs_00865,,,50.0
cscs_00866,,,50.0
cscs_00867,,,40.0
cscs_00868,,,21.0
cscs_00869,,,67.0
cscs_00870,"Small city/town (1,000-29,999 people)",,69.0
cscs_00871,,,25.0
cscs_00872,"Large urban centre (100,000+ people)",,39.0
cscs_00873,Rural area (Less than 1000 people),,64.0
cscs_00874,,,62.0
cscs_00875,,,43.0
cscs_00876,,,26.0
cscs_00879,,,46.0
cscs_00880,,,82.0
cscs_00881,,,34.0
cscs_00882,,,32.0
cscs_00883,,,61.0
cscs_00884,,,71.0
cscs_00885,,,20.0
cscs_00886,,,57.0
cscs_00887,,No,51.0
cscs_00888,,No,30.0
cscs_00889,"Large urban centre (100,000+ people)",,21.0
cscs_00890,"Medium city/town (30,000-99,999 people)",,34.0
cscs_00891,"Large urban centre (100,000+ people)",,43.0
cscs_00892,,,30.0
cscs_00893,,,25.0
cscs_00894,,,26.0
cscs_00895,"Large urban centre (100,000+ people)",,52.0
cscs_00896,,,34.0
cscs_00898,,Yes,46.0
cscs_00899,,,55.0
cscs_00900,,,38.0
cscs_00901,,,64.0
cscs_00902,,No,23.0
cscs_00903,,,30.0
cscs_00904,,,39.0
cscs_00905,,,36.0
cscs_00906,,,54.0
cscs_00908,,,63.0
cscs_00909,"Small city/town (1,000-29,999 people)",,67.0
cscs_00910,,,30.0
cscs_00911,"Large urban centre (100,000+ people)",,47.0
cscs_00912,,,81.0
cscs_00913,,,53.0
cscs_00914,"Medium city/town (30,000-99,999 people)",,28.0
cscs_00915,"Large urban centre (100,000+ people)",,63.0
cscs_00916,,,60.0
cscs_00918,,,42.0
cscs_00919,"Medium city/town (30,000-99,999 people)",,66.0
cscs_00920,,,61.0
cscs_00921,,,82.0
cscs_00922,,,26.0
cscs_00923,,,51.0
cscs_00924,"Medium city/town (30,000-99,999 people)",,57.0
cscs_00925,,,57.0
cscs_00926,"Medium city/town (30,000-99,999 people)",,18.0
cscs_00927,,,74.0
cscs_00928,"Small city/town (1,000-29,999 people)",,66.0
cscs_00929,,,31.0
cscs_00930,"Medium city/town (30,000-99,999 people)",,57.0
cscs_00931,,,58.0
cscs_00932,,Yes,27.0
cscs_00933,,,28.0
cscs_00936,,,59.0
cscs_00937,,No,74.0
cscs_00938,,,74.0
cscs_00939,,,35.0
cscs_00940,,,21.0
cscs_00941,"Small city/town (1,000-29,999 people)",,77.0
cscs_00942,,,46.0
cscs_00943,,,26.0
cscs_00944,,,75.0
cscs_00945,,,28.0
cscs_00946,,,27.0
cscs_00947,,,82.0
